Country,Medal,Name,Sport,Event,Date
France,Silver,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Football,Men's tournament,8/9/2024
France,Silver,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Handball,Women's tournament,8/10/2024
France,Silver,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Basketball,Men's tournament,8/10/2024
France,Silver,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Basketball,Women's tournament,8/11/2024
France,Bronze,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Fencing,Men's Team sabre,7/31/2024
France,Bronze,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Sailing,49er FX,8/2/2024
France,Bronze,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Equestrian,Team jumping,8/2/2024
France,Bronze,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Fencing,Men's team foil,8/4/2024
France,Bronze,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Swimming,Men's 4 × 100 m medley relay,8/4/2024
France,Bronze,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Table tennis,Men's team,8/9/2024
France,Silver,Joan-Benjamin Gaba,Judo,Men's 73 kg,7/29/2024
France,Bronze,Johanne Defay,Surfing,Women's shortboard,8/5/2024
France,Gold,Joris Daudet,Cycling,Men's BMX racing,8/2/2024
France,Gold,Kauli Vaast,Surfing,Men's shortboard,8/5/2024
France,Silver,Lauriane Nolot,Sailing,Women's Formula Kite,8/8/2024
France,Bronze,Léo Bergère,Triathlon,Men's triathlon,7/31/2024
France,Gold,Léon Marchand,Swimming,Men's 400 m individual medley,7/28/2024
France,Gold,Léon Marchand,Swimming,Men's 200 m butterfly,7/31/2024
France,Gold,Léon Marchand,Swimming,Men's 200 m breaststroke,7/31/2024
France,Gold,Léon Marchand,Swimming,Men's 200 m individual medley,8/2/2024
France,Bronze,Lisa Barbelin,Archery,Women's individual,8/3/2024
France,Silver,Luka Mkheidze,Judo,Men's –60 kg,7/27/2024
France,Gold,Manon Brunet,Fencing,Women's sabre,7/29/2024
France,Bronze,Maxime-Gaël Ngayap Hambou,Judo,Men's 90 kg,7/31/2024
France,Gold,Nicolas Gestin,Canoeing,Men's slalom C-1,7/29/2024
France,Gold,Pauline Ferrand-Prévot,Cycling,Women's cross-country,7/28/2024
France,Bronze,Romain Mahieu,Cycling,Men's BMX racing,8/2/2024
